latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
33.12623,3.31304,295.89,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,276.91,0.54,N
33.12934,3.32201,298.92,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.77,1.2,N
33.13683,3.36537,295.61,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.11,0.66,N
9.72734,14.54592,312.78,0.51,0.66,2023-12-07,115,1,VIIRS,n,2.0NRT,285.82,2.18,N
9.72823,14.54135,304.45,0.51,0.66,2023-12-07,115,1,VIIRS,n,2.0NRT,284.75,2.04,N
9.77337,15.37584,296.19,0.58,0.7,2023-12-07,115,1,VIIRS,n,2.0NRT,284.26,0.88,N
9.77751,15.37507,305.7,0.58,0.7,2023-12-07,115,1,VIIRS,n,2.0NRT,284.59,1.22,N
9.79346,14.55827,304.36,0.51,0.66,2023-12-07,115,1,VIIRS,n,2.0NRT,286.96,0.76,N
10.28117,16.73079,310.5,0.7,0.75,2023-12-07,115,1,VIIRS,n,2.0NRT,287.56,1.99,N
10.37677,16.46423,295.06,0.67,0.74,2023-12-07,115,1,VIIRS,n,2.0NRT,284.8,0.26,N
10.6215,16.95297,303.05,0.71,0.75,2023-12-07,115,1,VIIRS,n,2.0NRT,285.87,1.2,N
10.62208,16.95512,297.85,0.71,0.75,2023-12-07,115,1,VIIRS,n,2.0NRT,285.66,0.87,N
10.75794,9.0689,312.93,0.42,0.45,2023-12-07,115,1,VIIRS,n,2.0NRT,291.79,1.48,N
10.75859,9.06524,307.57,0.42,0.45,2023-12-07,115,1,VIIRS,n,2.0NRT,290.25,1.48,N
10.83991,17.62684,303.78,0.78,0.78,2023-12-07,115,1,VIIRS,n,2.0NRT,287.93,4.29,N
10.84136,17.61987,327.93,0.78,0.78,2023-12-07,115,1,VIIRS,n,2.0NRT,288.05,4.29,N
10.8484,17.62136,338.17,0.78,0.78,2023-12-07,115,1,VIIRS,n,2.0NRT,288.85,6.1,N
10.85544,17.62285,304.65,0.78,0.78,2023-12-07,115,1,VIIRS,n,2.0NRT,287.37,6.1,N
